"id","age","sex","education","nfc01","nfc02","nfc03","nfc04","nfc05","nfc06","nfc07","nfc08","nfc09","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","action_orientation","effortful_control","self_control"
387,21,"Male","Abitur",6,5,6,1,7,4,1,5,1,4,1,1,6,5,1,1,10,4,2
390,31,"Female","Abitur",6,5,6,2,6,7,1,5,2,2,3,1,3,4,5,6,19,18,-2
391,28,"Male","Abitur",6,3,2,5,5,7,3,5,3,6,3,5,3,3,3,3,1,-8,-17
392,22,"Female","Abitur",6,6,7,7,7,3,2,2,1,2,1,2,6,5,1,2,17,36,22
393,20,"Female","Abitur",6,5,4,1,5,7,3,1,2,4,2,2,4,2,1,1,11,12,-1
396,24,"Female","Abitur",6,6,5,3,4,3,2,2,1,4,3,2,4,3,1,1,4,0,-4
397,20,"Female","Abitur",3,3,3,5,3,3,5,5,3,5,5,5,3,3,3,5,3,-7,-3
398,26,"Male","Abitur",6,2,2,2,6,3,6,5,3,2,2,2,5,2,3,5,16,30,-6
399,30,"Male","Abitur",7,6,6,3,5,6,3,4,1,2,3,3,5,4,5,3,16,13,-2
400,19,"Female","Abitur",6,6,5,1,7,3,2,3,1,3,6,2,5,5,1,1,15,5,4
401,22,"Female","Abitur",2,2,2,5,7,6,4,5,2,5,5,4,1,1,6,6,7,22,-4
403,24,"Female","Abitur",4,6,5,6,6,2,1,4,5,2,5,7,1,1,2,3,11,13,11
